company_name,business_type,address,phone_number,website,rating,review_count,review_snippet,opening_time,google_maps_link,review_count_num
CLEANOSK Automation,Manufacturer,"Sr. No. – 83/2, Anant Industrial Estate, 1st Kaman, Dangat Industrial Estate, opp. Sneha Vihar B-1 Shivane",093595 75294,https://www.cleanosk.co.in/enquiry.php,5.0,(61),"""Good Quality

Good Service

Good Delivery time""",· Opens 9 am Tue,https://www.google.com/maps/place/CLEANOSK+Automation/data=!4m7!3m6!1s0x3bc2eb28eee8aedf:0x48d1609a9c029d5f!8m2!3d18.4662878!4d73.789337!16s%2Fg%2F11s4y36v3s!19sChIJ367o7ijrwjsRX50CnJpg0Ug?authuser=0&hl=en&rclk=1,61.0
Pioneer Technology,Automation company,"Pioneer Technology Survey no. 452/1/1, Saidatta reality, Near Jai Ganesh Samrajya chowk,Alankapuram road, Opp jaywant nagar , Maharashtra Rajya Vakhar mahamandal kendra, PCMC",088888 30107,http://www.pioneerautomation.in/,4.5,(59),"""Excellent support team and genuine automation products.""",,https://www.google.com/maps/place/Pioneer+Technology/data=!4m7!3m6!1s0x3bc2b87d37af337d:0x21ead22db498facf!8m2!3d18.6487735!4d73.8555452!16s%2Fg%2F11cly6bdk9!19sChIJfTOvN324wjsRz_qYtC3S6iE?authuser=0&hl=en&rclk=1,59.0
Sourayan Technologies Pvt Ltd,Electronics manufacturer,·,077740 53012,http://www.sourayantech.com/,4.9,(57),"""M/s.Sourayan has provided good quality materials and good service.""",· Opens 9 am Tue,https://www.google.com/maps/place/Sourayan+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bc2c1180c988429:0x7eb2176000ef4881!8m2!3d18.4884547!4d73.8500963!16s%2Fg%2F11szf2fvg4!19sChIJKYSYDBjBwjsRgUjvAGAXsn4?authuser=0&hl=en&rclk=1,57.0
MNCAS India Private Limited,Automation company,"Survey No-317,Shrihari Chauk, Waghere colony No-4, near SUKHWANI NIKETAN",086696 69990,https://mncas.in/,4.5,(57),"""MNCAS provide best services related to",· Opens 9 am Tue,https://www.google.com/maps/place/MNCAS+India+Private+Limited/data=!4m7!3m6!1s0x3bc2b8e331703961:0xc8f911b5e350e32e!8m2!3d18.6048149!4d73.7988659!16s%2Fg%2F11f1mxqbzx!19sChIJYTlwMeO4wjsRLuNQ47UR-cg?authuser=0&hl=en&rclk=1,57.0
Sua Automation,Automation company,·,077740 51541,http://www.suaautomation.com/,4.4,(55),"""Sua Automation is material handling company!""",· Opens 9 am Tue,https://www.google.com/maps/place/Sua+Automation/data=!4m7!3m6!1s0x3bc2b80cff5a5149:0x520d154e7d8a350!8m2!3d18.6423733!4d73.8292874!16s%2Fg%2F11dzw5nn51!19sChIJSVFa_wy4wjsRUKPY51TRIAU?authuser=0&hl=en&rclk=1,55.0
Functions India || Gate Automation || Home Automation Company,Home automation company,"OFFICE NO. 132, 1st FLOOR, Ashoka Mall, Functions India, Bund Garden Rd, next to RANKA JWELLERS",092844 31611,https://functionindiagateautomation.odoo.com/,4.8,(52),On-site services,· Opens 10 am Tue,https://www.google.com/maps/place/Functions+India+%7C%7C+Gate+Automation+%7C%7C+Home+Automation+Company/data=!4m7!3m6!1s0x3bc2c7f4994e90eb:0xa89f5ee1c67c278b!8m2!3d18.5373777!4d73.8822432!16s%2Fg%2F11j4y69j_2!19sChIJ65BOmfTHwjsRiyd8xuFen6g?authuser=0&hl=en&rclk=1,52.0
Infinity Automation Systems Private Limited,Automation company,·,093256 40285,http://www.infinityautomations.com/,4.3,(51),On-site services,· Opens 8:30 am Tue,https://www.google.com/maps/place/Infinity+Automation+Systems+Private+Limited/data=!4m7!3m6!1s0x3bc2b9ab24a4f70b:0x87634e76b1c5b769!8m2!3d18.6201866!4d73.7489987!16s%2Fg%2F11hyl4l_32!19sChIJC_ekJKu5wjsRabfFsXZOY4c?authuser=0&hl=en&rclk=1,51.0
Innovative Solutions India Private Limited,Automation company,"T-62/4, Pimpri-Bhosari Road, near Major Dhyanchand Polygrass Hockey Stadium",020 2711 9521,http://www.innsol.in/,4.6,(50),"""Excellent Staff , awesome company""",· Opens 9 am Tue,https://www.google.com/maps/place/Innovative+Solutions+India+Private+Limited/data=!4m7!3m6!1s0x3bc2c78c00000001:0x88c6d52615aa4fe!8m2!3d18.6318801!4d73.8273915!16s%2Fg%2F1tvw3czh!19sChIJAQAAAIzHwjsR_qRaYVJtjAg?authuser=0&hl=en&rclk=1,50.0
Hytech Automation,Automation company,"Survey No. 38, 2/19, Pari Chowk, opposite CNG Pump",083082 45100,http://www.hytechautomation.in/,4.3,(50),"""Good place and friendly cooperative staff""",· Opens 9 am Tue,https://www.google.com/maps/place/Hytech+Automation/data=!4m7!3m6!1s0x3bc2956d220afe99:0xdb8d7cc5b5abe145!8m2!3d18.4484968!4d73.8213392!16s%2Fg%2F1pp2wwr9d!19sChIJmf4KIm2VwjsRReGrtcV8jds?authuser=0&hl=en&rclk=1,50.0
MicroSet Instrumentation & Controls,Manufacturer,"1103A, 102 Chinmay, 10, Lakaki Rd",091124 55550,https://www.microsetindia.com/,4.0,(48),"""Very good quality, fine accuracy and economical products.""",· Opens 9:30 am Tue,https://www.google.com/maps/place/MicroSet+Instrumentation+%26+Controls/data=!4m7!3m6!1s0x3bc2bf7fa8863825:0x9c654667f50a5e6b!8m2!3d18.5304584!4d73.8391893!16s%2Fg%2F1tlbmlrm!19sChIJJTiGqH-_wjsRa14K9WdGZZw?authuser=0&hl=en&rclk=1,48.0
Adept Fluidyne Pvt. Ltd,Manufacturer,·,020 2543 1474,https://www.adeptfluidyne.com/,4.3,(45),,· Opens 8:30 am Tue,https://www.google.com/maps/place/Adept+Fluidyne+Pvt.+Ltd/data=!4m7!3m6!1s0x3bc2c065a7c56561:0x1bfa155759eb4995!8m2!3d18.5018679!4d73.8232343!16s%2Fg%2F1thlljft!19sChIJYWXFp2XAwjsRlUnrWVcV-hs?authuser=0&hl=en&rclk=1,45.0
Analogic Automation Pvt. Ltd.,Automation company,"Survey No. 45/13/1&2,Sinhgad Institute of Pharmacy, Narhe Road, near Bank of Maharashtra",020 6643 6800,http://www.analogic.co.in/,4.2,(44),,· Opens 9 am Tue,https://www.google.com/maps/place/Analogic+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc29524b5ea70bb:0x2e979615a9f0591e!8m2!3d18.4543656!4d73.8190415!16s%2Fg%2F11xtxg9pb!19sChIJu3DqtSSVwjsRHlnwqRWWly4?authuser=0&hl=en&rclk=1,44.0
